# 录音文件-6-24 上传结果 2025-06-24（默认 force 覆盖）
[上传] 上不上征信 -> qa:210 (fallback:2)
[上传] 信号不好 -> qa:229 (fallback:21)
[上传] 初次拒绝 -> qa:291 (fallback:83)
[上传] 利息偏高 -> qa:239 (fallback:31)
[上传] 号码来源 -> qa:246 (fallback:38)
[上传] 听不清 -> qa:227 (fallback:19)
[上传] 听得到吗 -> qa:250 (fallback:42)
[上传] 外来号码 -> qa:271 (fallback:63)
[上传] 提前还款 -> qa:294 (fallback:86)
[上传] 政策收紧 -> qa:298 (fallback:90)
[上传] 没听清 -> qa:305 (fallback:97)
[上传] 申请 -> qa:345 (fallback:137)
[上传] 质疑套路贷 -> qa:295 (fallback:87)
[上传] 质疑高利贷 -> qa:349 (fallback:141)
[上传] 贷款所需材料 -> qa:334 (fallback:126)
[上传] 还款方式 -> qa:274 (fallback:66)
[上传] 追问 -> qa:344 (fallback:136)
[上传] 静默 -> qa:309 (fallback:101)
[上传] 面积小 -> qa:286 (fallback:78)
[跳过] 没声 (与 fallback:101 静默 同 QA，保留静默.m4a)
