类型,编号,场景/关键词,标准话术,QA_ID,已有WAV,WAV路径,本地m4a,建议操作
主线,01,开场白,喂。你好，我是办理银行贷款的客户经理，本月各大银行再次降息，已经降到了2.2厘，您最近有没有资金备用或者转贷的打算？,179,是,./uploads/tts/kb-qa/qa_179_1782263000187.wav,开场白,已完成
主线,02,询问资金额度,请问您大概需要多少资金呢？,180,是,./uploads/tts/kb-qa/qa_180_1782013315087.wav,,已完成
主线,03,职业问询,那我这边给您匹配下产品，有几个问题需要了解一下，请问您是上班还是做生意呢？,181,是,./uploads/tts/kb-qa/qa_181_1782013301014.wav,,已完成
主线,04,社保公积金基础,您社保和公积金都在正常缴纳吗？,182,是,./uploads/tts/kb-qa/qa_182_1782013314444.wav,,已完成
主线,05,社保缴存时长,那您社保当前连续缴纳多久了？,183,是,./uploads/tts/kb-qa/qa_183_1782013312217.wav,,已完成
主线,06,公积金缴存时长,公积金呢！大概连续缴纳多久了呢！,184,是,./uploads/tts/kb-qa/qa_184_1782262998900.wav,公积金,已完成
主线,07,月收入问询,工资呢！每月大概是多少呢！,185,是,./uploads/tts/kb-qa/qa_185_1782263000669.wav,月收入,已完成
主线,08,企业开票纳税,您名下的公司有没有开票或者交税呢,186,是,./uploads/tts/kb-qa/qa_186_1782013314600.wav,,已完成
主线,09,年开票金额,您企业在过去一年的开票大概在多少呀,187,是,./uploads/tts/kb-qa/qa_187_1782263000051.wav,年开票,已完成
主线,10,年度纳税额,纳税呢！大概有多少？,188,是,./uploads/tts/kb-qa/qa_188_1782263001088.wav,纳税,已完成
主线,11,企业年流水,哦，那您公司一年流水大概多少呢？,189,是,./uploads/tts/kb-qa/qa_189_1782013314943.wav,,已完成
主线,12,名下车辆,嗯，那您名下有车吗？,190,是,./uploads/tts/kb-qa/qa_190_1782013316646.wav,,已完成
主线,13,名下房产,那再问一下啊，那您名下有房吗？,191,是,./uploads/tts/kb-qa/qa_191_1782013304491.wav,,已完成
主线,14,人寿保单,嗯，人寿保险购买过吗？只要投保人是你的都可以。,192,是,./uploads/tts/kb-qa/qa_192_1782262998355.wav,人寿,已完成
主线,15,近三月申贷记录,好的感谢您的配合，目前呢你的基本情况已经了解完毕，再跟你核实一下你的个人信息，近三个月有申请其他银行的贷款吗,193,是,./uploads/tts/kb-qa/qa_193_1782013314741.wav,,已完成
主线,17,询问姓氏称呼,嗯嗯，了解了，您看咱们聊这么久了啊，还不知道怎么称呼你呢，请问您贵姓呢,194,是,./uploads/tts/kb-qa/qa_194_1782013303052.wav,,已完成
主线,18,转接产品经理铺垫,嗯，好的呢！您的情况这边已经记录下来了，稍后我们公司产品老师，给您致电进行详细沟通，请注意接听来电，好吧？,195,是,./uploads/tts/kb-qa/qa_195_1782013312519.wav,,已完成
主线,19,邀约成功结束语,好的，感谢您的配合，那其它问题后续就由专业的产品老师跟您详谈了，祝您生活愉快，再见！,196,是,./uploads/tts/kb-qa/qa_196_1782013317820.wav,,已完成
主线,20,意向不明兜底,是这样的，我们单位业务分工是比较明确的，也是为了更好地为您服务，我们稍后会安排产品老师来跟您直接沟通的，我这边就先不打扰您了，祝您生活愉快，再见！,197,是,./uploads/tts/kb-qa/qa_197_1782013303851.wav,,已完成
主线,21,邀约失败,那也没关系，稍后让我们产品老师加您微信，您留个备用，有需要随时联系，我这边就先不打扰您了，祝您生活愉快，再见！,198,是,./uploads/tts/kb-qa/qa_198_1782013317636.wav,,已完成
主线,22,发起添加微信,那一会我加下您的微信，请问您这个手机号是您的微信号吗？,199,是,./uploads/tts/kb-qa/qa_199_1782013294549.wav,,已完成
主线,23,索要微信号,那您方便说下您的微信号吗，我记一下稍后加下您呢？,200,是,./uploads/tts/kb-qa/qa_200_1782013301986.wav,,已完成
主线,24,加微成功结束语,好的，那我稍后添加下您，您留意一下，祝您生活愉快，再见！,201,是,./uploads/tts/kb-qa/qa_201_1782013294737.wav,,已完成
主线,25,意向不明加微,嗯嗯，好的，那我稍后添加下您，您留意一下，祝您生活愉快，再见！,202,是,./uploads/tts/kb-qa/qa_202_1782263000284.wav,意向不明加微,已完成
主线,26,加微失败结束语,好的。那不好意思打扰您了，祝您生活愉快，再见！,203,是,./uploads/tts/kb-qa/qa_203_1782262999514.wav,加微失败,已完成
主线,27,初次拒绝挽回1,啊，您别这么快拒绝嘛，现在这个贷款利息真的很低，而且呢您可以留着备用嘛！那我这边加一下微信您可以吗？,204,是,./uploads/tts/kb-qa/qa_204_1782013307137.wav,,已完成
主线,28,二次挽回,您可以了解一下的嘛，也可以了解一下您目前的资质情况在银行大概的可贷额度利息呢？,205,是,./uploads/tts/kb-qa/qa_205_1782013307281.wav,,已完成
主线,29,三次挽回,可以加你个联系方式吗。后面有需要在联系。,206,是,./uploads/tts/kb-qa/qa_206_1782013307437.wav,,已完成
主线,99,异常挂断兜底,抱歉，不打扰您了，再见,207,是,./uploads/tts/kb-qa/qa_207_1782013301655.wav,,已完成
主线,AA,客户追问产品明细转接,嗯，是这样的，因为我这边是客服专线，具体稍后让我们产品老师联系您，请您这边保持电话通畅！,208,是,./uploads/tts/kb-qa/qa_208_1782263001473.wav,追问,已完成
FAQ,1,一押|做过抵押,已经有抵押，也没有关系的，现在银行目前，针对房产已经有过抵押的可以做二次抵押，目前针对二押的贷款产品也有的呢,209,是,./uploads/tts/kb-qa/qa_209_1782013292550.wav,,已完成
FAQ,2,上不上征信|会不会上征信|查不查征信|贷款上征信|影响征信吗,这个要看具体情况，每个产品不一样，有的会上征信，有些不上征信，我们会根据您的需求来匹配产品的；这个您不用担心，只要按时还款，是不会对征信有负面影响的,210,是,./uploads/tts/kb-qa/qa_210_1782310718719.wav,,已完成
FAQ,3,上班时间,是这样的啊！我们这边的上班时间是早上9：00到下午18：00的,211,是,./uploads/tts/kb-qa/qa_211_1782013288489.wav,,已完成
FAQ,4,上门服务,只要您基本情况符合我们要求可以上门办理的,212,是,./uploads/tts/kb-qa/qa_212_1782262997979.wav,上门,已完成
FAQ,5,不开票,您只要有流水一年能达到10万以上就可以，也可以申请办理,213,是,./uploads/tts/kb-qa/qa_213_1782262998214.wav,不开票,已完成
FAQ,6,不方便透露信息,那您看要不这样，这边稍后会安排我们产品老师再次联系您，帮您先匹配一下您的可贷额度以及利息等，请保持手机畅通！祝您生活愉快，再见,214,是,./uploads/tts/kb-qa/qa_214_1782013289111.wav,,已完成
FAQ,7,个人还是企业,个人和企业都是可以做的，每种产品都有很多，针对的人群是不一样的,215,是,./uploads/tts/kb-qa/qa_215_1782013289692.wav,,已完成
FAQ,8,了解利率|利息多少,可以啊，没有问题。抵押贷款利率我们这边基本上可以办理到2.2厘左右，信用贷款利率基本在2厘-6厘左右,216,是,./uploads/tts/kb-qa/qa_216_1782013293636.wav,,已完成
FAQ,9,别家费用更低|别的公司便宜,是这样的，我们都是免费咨询，办理也是没有任何前期费用，而且我们能帮你匹配到，以您目前的资质条件，在所有银行能贷到的最低利息的方案，帮您大大节省了您的融资成本以及时间哦！,217,是,./uploads/tts/kb-qa/qa_217_1782262999389.wav,别家费用低,已完成
FAQ,10,共有房产|产证多人,这个没事的啊！这边还是有很多个人信用贷款可以申请的,218,是,./uploads/tts/kb-qa/qa_218_1782013290397.wav,,已完成
